identifier	text	seq	syn	dep_left	dep_right	chunk
cafe	a small restaurant where drinks and snacks are sold.	['a', 'small', 'restaurant', 'where', 'drinks', 'and', 'snacks', 'are', 'sold', '.']	[['a', 'small', 'restaurant'], ['where', [['drinks', 'and', 'snacks'], ['are', 'sold']]], '.']	['restaurant', 'a', 'small', ['sold', 'where', ['drinks', 'and', 'snacks'], 'are'], '.']	['a', 'small', ['where', ['and', 'snacks', 'drinks'], 'are', 'sold'], '.', 'restaurant']	[['a', 'small', 'restaurant'], 'where', 'drinks', 'and', 'snacks', 'are', 'sold', '.']
cake	a block of solid substance (such as soap or wax).	['a', 'block', 'of', 'solid', 'substance', '(', 'such', 'as', 'soap', 'or', 'wax', ')', '.']	[['a', 'block'], ['of', [['solid', 'substance'], ['-LRB-', ['such', 'as', ['soap', 'or', 'wax']], '-RRB-']]], '.']	['block', 'a', ['substance', 'of', 'solid', ['soap', '-LRB-', ['such', 'as'], 'or', 'wax', '-RRB-']], '.']	['a', ['of', 'solid', ['-LRB-', ['as', 'such'], 'or', 'wax', '-RRB-', 'soap'], 'substance'], '.', 'block']	[['a', 'block'], 'of', ['solid', 'substance'], '(', 'such', 'as', 'soap', 'or', 'wax', ')', '.']
camel	cud-chewing mammal used as a draft or saddle animal in desert regions.	['cud-chewing', 'mammal', 'used', 'as', 'a', 'draft', 'or', 'saddle', 'animal', 'in', 'desert', 'regions', '.']	[['cud-chewing', 'mammal'], ['used', ['as', [['a', 'draft', 'or', 'saddle', 'animal'], ['in', ['desert', 'regions']]]]], '.']	['mammal', 'cud-chewing', ['used', ['draft', 'as', 'a', 'or', ['animal', 'saddle'], ['regions', 'in', 'desert']]], '.']	['cud-chewing', [['as', 'a', 'or', ['saddle', 'animal'], ['in', 'desert', 'regions'], 'draft'], 'used'], '.', 'mammal']	[['cud', '-', 'chewing', 'mammal'], 'used', 'as', ['a', 'draft'], 'or', ['saddle', 'animal'], 'in', ['desert', 'regions'], '.']
camera	equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other).	['equipment', 'for', 'taking', 'photographs', '(', 'usually', 'consisting', 'of', 'a', 'lightproof', 'box', 'with', 'a', 'lens', 'at', 'one', 'end', 'and', 'light-sensitive', 'film', 'at', 'the', 'other', ')', '.']	['equipment', ['for', ['taking', ['photographs', ['-LRB-', ['usually', 'consisting', ['of', [['a', 'lightproof', 'box'], ['with', [[['a', 'lens'], ['at', ['one', 'end']]], 'and', [['light-sensitive', 'film'], ['at', ['the', 'other']]]]]]]], '-RRB-']]]], '.']	['equipment', ['taking', 'for', 'photographs', ['consisting', '-LRB-', 'usually', ['box', 'of', 'a', 'lightproof', ['lens', 'with', 'a']], ['end', 'at', 'one', 'and', ['film', 'light-sensitive'], ['other', 'at', 'the']], '-RRB-']], '.']	[['for', 'photographs', ['-LRB-', 'usually', ['of', 'a', 'lightproof', ['with', 'a', 'lens'], 'box'], ['at', 'one', 'and', ['light-sensitive', 'film'], ['at', 'the', 'other'], 'end'], '-RRB-', 'consisting'], 'taking'], '.', 'equipment']	['equipment', 'for', 'taking', 'photographs', '(', 'usually', 'consisting', 'of', ['a', 'lightproof', 'box'], 'with', ['a', 'lens'], 'at', ['one', 'end'], 'and', 'light', '-', 'sensitive', 'film', 'at', 'the', 'other', ')', '.']
can	airtight sealed metal container for food or drink or paint etc.	['airtight', 'sealed', 'metal', 'container', 'for', 'food', 'or', 'drink', 'or', 'paint', 'etc', '.']	[['airtight', 'sealed', 'metal', 'container'], ['for', ['food', 'or', 'drink', 'or', 'paint'], 'etc.'], '.']	[['container', 'airtight', 'sealed', 'metal', ['food', 'for', 'or', 'drink', 'or', ['etc.', 'paint']], '.'], 'etc']	['etc', ['airtight', 'sealed', 'metal', ['for', 'or', 'drink', 'or', ['paint', 'etc.'], 'food'], '.', 'container']]	[['airtight', 'sealed', 'metal', 'container'], 'for', 'food', 'or', 'drink', 'or', 'paint', 'etc', '.']
canal	(astronomy) an indistinct surface feature of Mars once thought to be a system of channels.	['(', 'astronomy', ')', 'an', 'indistinct', 'surface', 'feature', 'of', 'Mars', 'once', 'thought', 'to', 'be', 'a', 'system', 'of', 'channels', '.']	[[[['-LRB-', 'astronomy', '-RRB-'], ['an', 'indistinct', 'surface', 'feature']], ['of', 'Mars']], 'once', ['thought', ['to', ['be', [['a', 'system'], ['of', 'channels']]]]], '.']	['astronomy', '-LRB-', '-RRB-', ['feature', 'an', 'indistinct', 'surface', ['Mars', 'of'], ['thought', 'once', ['system', 'to', 'be', 'a', ['channels', 'of']]]], '.']	['-LRB-', '-RRB-', ['an', 'indistinct', 'surface', ['of', 'Mars'], ['once', ['to', 'be', 'a', ['of', 'channels'], 'system'], 'thought'], 'feature'], '.', 'astronomy']	[['(', 'astronomy'], ')', ['an', 'indistinct', 'surface', 'feature'], 'of', 'Mars', 'once', 'thought', 'to', 'be', ['a', 'system'], 'of', 'channels', '.']
candle	stick of wax with a wick in the middle.	['stick', 'of', 'wax', 'with', 'a', 'wick', 'in', 'the', 'middle', '.']	['stick', ['of', 'wax'], ['with', [['a', 'wick'], ['in', ['the', 'middle']]]], '.']	['stick', ['wax', 'of'], ['wick', 'with', 'a', ['middle', 'in', 'the']], '.']	[['of', 'wax'], ['with', 'a', ['in', 'the', 'middle'], 'wick'], '.', 'stick']	['stick', 'of', 'wax', 'with', ['a', 'wick'], 'in', ['the', 'middle'], '.']
candy	a rich sweet made of flavored sugar and often combined with fruit or nuts.	['a', 'rich', 'sweet', 'made', 'of', 'flavored', 'sugar', 'and', 'often', 'combined', 'with', 'fruit', 'or', 'nuts', '.']	[['a', ['rich', 'sweet']], [['made', ['of', ['flavored', 'sugar']]], 'and', ['often', 'combined', ['with', ['fruit', 'or', 'nuts']]]], '.']	['sweet', 'a', 'rich', ['made', ['sugar', 'of', 'flavored'], 'and', ['combined', 'often', ['fruit', 'with', 'or', 'nuts']]], '.']	['a', 'rich', [['of', 'flavored', 'sugar'], 'and', ['often', ['with', 'or', 'nuts', 'fruit'], 'combined'], 'made'], '.', 'sweet']	['a', 'rich', 'sweet', 'made', 'of', ['flavored', 'sugar'], 'and', 'often', 'combined', 'with', 'fruit', 'or', 'nuts', '.']
canine	one of the four pointed conical teeth (two in each jaw) located between the incisors and the premolars.	['one', 'of', 'the', 'four', 'pointed', 'conical', 'teeth', '(', 'two', 'in', 'each', 'jaw', ')', 'located', 'between', 'the', 'incisors', 'and', 'the', 'premolars', '.']	[['one', ['of', [['the', 'four', 'pointed', 'conical', 'teeth'], ['-LRB-', ['two', ['in', ['each', 'jaw']]], '-RRB-']]]], ['located', ['between', [['the', 'incisors'], 'and', ['the', 'premolars']]]], '.']	['one', ['teeth', 'of', 'the', 'four', 'pointed', 'conical', ['two', '-LRB-', ['jaw', 'in', 'each'], '-RRB-'], ['located', ['incisors', 'between', 'the', 'and', ['premolars', 'the']]]], '.']	[['of', 'the', 'four', 'pointed', 'conical', ['-LRB-', ['in', 'each', 'jaw'], '-RRB-', 'two'], [['between', 'the', 'and', ['the', 'premolars'], 'incisors'], 'located'], 'teeth'], '.', 'one']	['one', 'of', ['the', 'four', 'pointed', 'conical', 'teeth'], '(', 'two', 'in', ['each', 'jaw'], ')', 'located', 'between', ['the', 'incisors'], 'and', ['the', 'premolars'], '.']
canyon	a ravine formed by a river in an area with little rainfall.	['a', 'ravine', 'formed', 'by', 'a', 'river', 'in', 'an', 'area', 'with', 'little', 'rainfall', '.']	[['a', 'ravine'], ['formed', ['by', [['a', 'river'], ['in', [['an', 'area'], ['with', ['little', 'rainfall']]]]]]], '.']	['ravine', 'a', ['formed', ['river', 'by', 'a', ['area', 'in', 'an'], ['rainfall', 'with', 'little']]], '.']	['a', [['by', 'a', ['in', 'an', 'area'], ['with', 'little', 'rainfall'], 'river'], 'formed'], '.', 'ravine']	[['a', 'ravine'], 'formed', 'by', ['a', 'river'], 'in', ['an', 'area'], 'with', ['little', 'rainfall'], '.']
car	a motor vehicle with four wheels.	['a', 'motor', 'vehicle', 'with', 'four', 'wheels', '.']	[['a', 'motor', 'vehicle'], ['with', ['four', 'wheels']], '.']	['vehicle', 'a', 'motor', ['wheels', 'with', 'four'], '.']	['a', 'motor', ['with', 'four', 'wheels'], '.', 'vehicle']	[['a', 'motor', 'vehicle'], 'with', ['four', 'wheels'], '.']
card	one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes.	['one', 'of', 'a', 'set', 'of', 'small', 'pieces', 'of', 'stiff', 'paper', 'marked', 'in', 'various', 'ways', 'and', 'used', 'for', 'playing', 'games', 'or', 'for', 'telling', 'fortunes', '.']	[['one', ['of', [['a', 'set'], ['of', [['small', 'pieces'], ['of', ['stiff', 'paper']]]]]]], [['marked', ['in', ['various', 'ways']]], 'and', ['used', [['for', ['playing', 'games']], 'or', ['for', ['telling', 'fortunes']]]]], '.']	['one', ['set', 'of', 'a', ['pieces', 'of', 'small', ['paper', 'of', 'stiff'], ['marked', ['ways', 'in', 'various'], 'and', ['used', ['playing', 'for', 'games', 'or', ['telling', 'for', 'fortunes']]]]]], '.']	[['of', 'a', ['of', 'small', ['of', 'stiff', 'paper'], [['in', 'various', 'ways'], 'and', [['for', 'games', 'or', ['for', 'fortunes', 'telling'], 'playing'], 'used'], 'marked'], 'pieces'], 'set'], '.', 'one']	['one', 'of', ['a', 'set'], 'of', ['small', 'pieces'], 'of', ['stiff', 'paper'], 'marked', 'in', ['various', 'ways'], 'and', 'used', 'for', 'playing', 'games', 'or', 'for', 'telling', 'fortunes', '.']
carnival	a festival marked by merrymaking and processions.	['a', 'festival', 'marked', 'by', 'merrymaking', 'and', 'processions', '.']	[['a', 'festival'], ['marked', ['by', ['merrymaking', 'and', 'processions']]], '.']	['festival', 'a', ['marked', ['merrymaking', 'by', 'and', 'processions']], '.']	['a', [['by', 'and', 'processions', 'merrymaking'], 'marked'], '.', 'festival']	[['a', 'festival'], 'marked', 'by', 'merrymaking', 'and', 'processions', '.']
carrot	deep orange edible root of the cultivated carrot plant.	['deep', 'orange', 'edible', 'root', 'of', 'the', 'cultivated', 'carrot', 'plant', '.']	['deep', [['orange', 'edible', 'root'], ['of', ['the', 'cultivated', 'carrot', 'plant']]], '.']	['root', ['orange', 'deep'], 'edible', ['plant', 'of', 'the', 'cultivated', 'carrot'], '.']	[['deep', 'orange'], 'edible', ['of', 'the', 'cultivated', 'carrot', 'plant'], '.', 'root']	[['deep', 'orange', 'edible', 'root'], 'of', ['the', 'cultivated', 'carrot', 'plant'], '.']
castle	a large and stately mansion.	['a', 'large', 'and', 'stately', 'mansion', '.']	[['a', ['large', 'and', 'stately'], 'mansion'], '.']	['mansion', 'a', ['large', 'and', 'stately'], '.']	['a', ['and', 'stately', 'large'], '.', 'mansion']	[['a', 'large', 'and', 'stately', 'mansion'], '.']
cat	feline mammal usually having thick soft fur and no ability to roar: domestic cats.	['feline', 'mammal', 'usually', 'having', 'thick', 'soft', 'fur', 'and', 'no', 'ability', 'to', 'roar', ':', 'domestic', 'cats', '.']	[['feline', 'mammal'], [['usually', 'having', ['thick', 'soft', 'fur']], 'and', [['no', 'ability'], ['to', ['roar', ':', ['domestic', 'cats']]]]], '.']	['having', ['mammal', 'feline'], 'usually', ['fur', 'thick', 'soft', 'and', ['ability', 'no', ['roar', 'to']]], ':', ['cats', 'domestic'], '.']	[['feline', 'mammal'], 'usually', ['thick', 'soft', 'and', ['no', ['to', 'roar'], 'ability'], 'fur'], ':', ['domestic', 'cats'], '.', 'having']	[['feline', 'mammal'], 'usually', 'having', ['thick', 'soft', 'fur'], 'and', ['no', 'ability'], 'to', 'roar', ':', ['domestic', 'cats'], '.']
caterpillar	a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth.	['a', 'wormlike', 'and', 'often', 'brightly', 'colored', 'and', 'hairy', 'or', 'spiny', 'larva', 'of', 'a', 'butterfly', 'or', 'moth', '.']	[['a', ['wormlike', 'and', 'often']], [['brightly', 'colored'], 'and', [['hairy', 'or', 'spiny', 'larva'], ['of', ['a', 'butterfly', 'or', 'moth']]]], '.']	['larva', 'a', ['wormlike', 'and', ['colored', 'often', 'brightly'], 'and', 'hairy', 'or', 'spiny'], ['butterfly', 'of', 'a', 'or', 'moth'], '.']	['a', ['and', ['often', 'brightly', 'colored'], 'and', 'hairy', 'or', 'spiny', 'wormlike'], ['of', 'a', 'or', 'moth', 'butterfly'], '.', 'larva']	[['a', 'wormlike', 'and', 'often', 'brightly', 'colored', 'and', 'hairy', 'or', 'spiny', 'larva'], 'of', ['a', 'butterfly'], 'or', 'moth', '.']
cathedral	any large and important church.	['any', 'large', 'and', 'important', 'church', '.']	[['any', ['large', 'and', 'important'], 'church'], '.']	['church', 'any', ['large', 'and', 'important'], '.']	['any', ['and', 'important', 'large'], '.', 'church']	[['any', 'large', 'and', 'important', 'church'], '.']
cattle	domesticated bovine animals as a group regardless of sex or age.	['domesticated', 'bovine', 'animals', 'as', 'a', 'group', 'regardless', 'of', 'sex', 'or', 'age', '.']	[['domesticated', ['bovine', 'animals'], ['as', [['a', 'group'], 'regardless']], ['of', ['sex', 'or', 'age']]], '.']	['animals', 'domesticated', 'bovine', ['group', 'as', 'a'], ['regardless', ['sex', 'of', 'or', 'age']], '.']	['domesticated', 'bovine', ['as', 'a', 'group'], [['of', 'or', 'age', 'sex'], 'regardless'], '.', 'animals']	[['domesticated', 'bovine', 'animals'], 'as', ['a', 'group'], 'regardless', 'of', 'sex', 'or', 'age', '.']
ceiling	the overhead upper surface of a covered space.	['the', 'overhead', 'upper', 'surface', 'of', 'a', 'covered', 'space', '.']	[['the', 'overhead', 'upper', 'surface'], ['of', ['a', 'covered', 'space']], '.']	['surface', 'the', 'overhead', 'upper', ['space', 'of', 'a', 'covered'], '.']	['the', 'overhead', 'upper', ['of', 'a', 'covered', 'space'], '.', 'surface']	[['the', 'overhead', 'upper', 'surface'], 'of', ['a', 'covered', 'space'], '.']
cemetery	a tract of land used for burials.	['a', 'tract', 'of', 'land', 'used', 'for', 'burials', '.']	[[['a', 'tract'], ['of', 'land']], ['used', ['for', 'burials']], '.']	['tract', 'a', ['land', 'of'], ['used', ['burials', 'for']], '.']	['a', ['of', 'land'], [['for', 'burials'], 'used'], '.', 'tract']	[['a', 'tract'], 'of', 'land', 'used', 'for', 'burials', '.']
ceramic	an artifact made of hard brittle material produced from nonmetallic minerals by firing at high temperatures.	['an', 'artifact', 'made', 'of', 'hard', 'brittle', 'material', 'produced', 'from', 'nonmetallic', 'minerals', 'by', 'firing', 'at', 'high', 'temperatures', '.']	[[['an', 'artifact'], ['made', ['of', [['hard', 'brittle'], 'material']]]], ['produced', ['from', ['nonmetallic', 'minerals']], ['by', 'firing'], ['at', ['high', 'temperatures']]], '.']	['artifact', 'an', ['made', ['material', 'of', 'hard', 'brittle', ['produced', ['minerals', 'from', 'nonmetallic'], ['firing', 'by', ['temperatures', 'at', 'high']]]]], '.']	['an', [['of', 'hard', 'brittle', [['from', 'nonmetallic', 'minerals'], ['by', ['at', 'high', 'temperatures'], 'firing'], 'produced'], 'material'], 'made'], '.', 'artifact']	[['an', 'artifact'], 'made', 'of', ['hard', 'brittle', 'material'], 'produced', 'from', ['nonmetallic', 'minerals'], 'by', 'firing', 'at', ['high', 'temperatures'], '.']
chain	a series of things depending on each other as if linked together.	['a', 'series', 'of', 'things', 'depending', 'on', 'each', 'other', 'as', 'if', 'linked', 'together', '.']	[[['a', 'series'], ['of', 'things']], ['depending', ['on', ['each', 'other']], ['as', 'if', ['linked', 'together']]], '.']	['series', 'a', ['things', 'of'], ['depending', ['other', 'on', 'each'], ['linked', ['as', 'if'], 'together']], '.']	['a', ['of', 'things'], [['on', 'each', 'other'], [['if', 'as'], 'together', 'linked'], 'depending'], '.', 'series']	[['a', 'series'], 'of', 'things', 'depending', 'on', 'each', 'other', 'as', 'if', 'linked', 'together', '.']
chair	a seat for one person, with a support for the back.	['a', 'seat', 'for', 'one', 'person', ',', 'with', 'a', 'support', 'for', 'the', 'back', '.']	[['a', 'seat'], ['for', ['one', 'person']], ',', ['with', [['a', 'support'], ['for', ['the', 'back']]]], '.']	['seat', 'a', ['person', 'for', 'one'], ',', ['support', 'with', 'a', ['back', 'for', 'the']], '.']	['a', ['for', 'one', 'person'], ',', ['with', 'a', ['for', 'the', 'back'], 'support'], '.', 'seat']	[['a', 'seat'], 'for', ['one', 'person'], ',', 'with', ['a', 'support'], 'for', ['the', 'back'], '.']
chapel	a place of worship that has its own altar.	['a', 'place', 'of', 'worship', 'that', 'has', 'its', 'own', 'altar', '.']	[['a', 'place'], ['of', ['worship', ['that', ['has', ['its', 'own', 'altar']]]]], '.']	['place', 'a', ['worship', 'of'], ['has', 'that', ['altar', 'its', 'own']], '.']	['a', ['of', 'worship'], ['that', ['its', 'own', 'altar'], 'has'], '.', 'place']	[['a', 'place'], 'of', 'worship', 'that', 'has', ['its', 'own', 'altar'], '.']
cheerleader	an enthusiastic and vocal supporter.	['an', 'enthusiastic', 'and', 'vocal', 'supporter', '.']	[['an', ['enthusiastic', 'and', 'vocal'], 'supporter'], '.']	['supporter', 'an', ['enthusiastic', 'and', 'vocal'], '.']	['an', ['and', 'vocal', 'enthusiastic'], '.', 'supporter']	[['an', 'enthusiastic', 'and', 'vocal', 'supporter'], '.']
cheetah	long-legged spotted cat of Africa and southwestern Asia having nonretractile claws.	['long-legged', 'spotted', 'cat', 'of', 'Africa', 'and', 'southwestern', 'Asia', 'having', 'nonretractile', 'claws', '.']	[['long-legged', 'spotted', 'cat'], ['of', [['Africa', 'and', 'southwestern', 'Asia'], ['having', ['nonretractile', 'claws']]]], '.']	['cat', 'long-legged', 'spotted', ['Africa', 'of', 'and', ['Asia', 'southwestern']], ['having', ['claws', 'nonretractile']], '.']	['long-legged', 'spotted', ['of', 'and', ['southwestern', 'Asia'], 'Africa'], [['nonretractile', 'claws'], 'having'], '.', 'cat']	[['long', '-', 'legged', 'spotted', 'cat'], 'of', 'Africa', 'and', ['southwestern', 'Asia'], 'having', ['nonretractile', 'claws'], '.']
cherry	wood of any of various cherry trees especially the black cherry.	['wood', 'of', 'any', 'of', 'various', 'cherry', 'trees', 'especially', 'the', 'black', 'cherry', '.']	['wood', ['of', ['any', ['of', ['various', 'cherry', 'trees']]]], ['especially', ['the', 'black', 'cherry']], '.']	['wood', ['any', 'of', ['trees', 'of', 'various', 'cherry'], ['cherry', 'especially', 'the', 'black']], '.']	[['of', ['of', 'various', 'cherry', 'trees'], ['especially', 'the', 'black', 'cherry'], 'any'], '.', 'wood']	['wood', 'of', 'any', 'of', ['various', 'cherry', 'trees'], ['especially', 'the', 'black', 'cherry'], 'trees', 'especially', 'the', 'black', 'cherry', '.']
chess	weedy annual native to Europe but widely distributed as a weed especially in wheat.	['weedy', 'annual', 'native', 'to', 'Europe', 'but', 'widely', 'distributed', 'as', 'a', 'weed', 'especially', 'in', 'wheat', '.']	[[['weedy', 'annual'], [['native', ['to', 'Europe']], 'but', 'widely']], ['distributed', ['as', [['a', 'weed'], ['especially', 'in', 'wheat']]]], '.']	['native', 'weedy', 'annual', ['Europe', 'to'], 'but', ['distributed', 'widely', ['weed', 'as', 'a', ['wheat', 'especially', 'in']]], '.']	['weedy', 'annual', ['to', 'Europe'], 'but', ['widely', ['as', 'a', ['especially', 'in', 'wheat'], 'weed'], 'distributed'], '.', 'native']	[['weedy', 'annual', 'native'], 'to', 'Europe', 'but', 'widely', 'distributed', 'as', ['a', 'weed'], 'especially', 'in', 'wheat', '.']
chicken	the flesh of a chicken used for food.	['the', 'flesh', 'of', 'a', 'chicken', 'used', 'for', 'food', '.']	[[['the', 'flesh'], ['of', ['a', 'chicken']]], ['used', ['for', 'food']], '.']	['flesh', 'the', ['chicken', 'of', 'a', ['used', ['food', 'for']]], '.']	['the', ['of', 'a', [['for', 'food'], 'used'], 'chicken'], '.', 'flesh']	[['the', 'flesh'], 'of', ['a', 'chicken'], 'used', 'for', 'food', '.']
child	a young person of either sex.	['a', 'young', 'person', 'of', 'either', 'sex', '.']	[['a', 'young', 'person'], 'of', ['either', 'sex'], '.']	['person', 'a', 'young', ['sex', 'of', 'either'], '.']	['a', 'young', ['of', 'either', 'sex'], '.', 'person']	[['a', 'young', 'person'], 'of', ['either', 'sex'], '.']
chipmunk	a burrowing ground squirrel of western America and Asia.	['a', 'burrowing', 'ground', 'squirrel', 'of', 'western', 'America', 'and', 'Asia', '.']	[['a', 'burrowing', 'ground', 'squirrel'], ['of', ['western', 'America', 'and', 'Asia']], '.']	['squirrel', 'a', 'burrowing', 'ground', ['America', 'of', 'western', 'and', 'Asia'], '.']	['a', 'burrowing', 'ground', ['of', 'western', 'and', 'Asia', 'America'], '.', 'squirrel']	[['a', 'burrowing', 'ground', 'squirrel'], 'of', ['western', 'America'], 'and', 'Asia', '.']
chocolate	a beverage made from cocoa powder and milk and sugar.	['a', 'beverage', 'made', 'from', 'cocoa', 'powder', 'and', 'milk', 'and', 'sugar', '.']	[['a', 'beverage'], ['made', ['from', [['cocoa', 'powder'], 'and', ['milk', 'and', 'sugar']]]], '.']	['beverage', 'a', ['made', ['powder', 'from', 'cocoa', 'and', 'milk', 'and', 'sugar']], '.']	['a', [['from', 'cocoa', 'and', 'milk', 'and', 'sugar', 'powder'], 'made'], '.', 'beverage']	[['a', 'beverage'], 'made', 'from', ['cocoa', 'powder'], 'and', 'milk', 'and', 'sugar', '.']
chopper	a grounder that bounces high in the air.	['a', 'grounder', 'that', 'bounces', 'high', 'in', 'the', 'air', '.']	['a', 'grounder', ['that', ['bounces', 'high', ['in', ['the', 'air']]]], '.']	['grounder', 'a', ['bounces', 'that', 'high', ['air', 'in', 'the']], '.']	['a', ['that', 'high', ['in', 'the', 'air'], 'bounces'], '.', 'grounder']	[['a', 'grounder'], 'that', 'bounces', 'high', 'in', ['the', 'air'], '.']
christmas	period extending from Dec. 24 to Jan. 6.	['period', 'extending', 'from', 'Dec.', '24', 'to', 'Jan.', '6', '.']	['period', ['extending', ['from', [['Dec.', '24'], ['to', ['Jan.', '6']]]]], '.']	['period', ['extending', ['Dec.', 'from', '24', ['Jan.', 'to', '6']]], '.']	[[['from', '24', ['to', '6', 'Jan.'], 'Dec.'], 'extending'], '.', 'period']	['period', 'extending', 'from', 'Dec.', '24', 'to', 'Jan.', '6', '.']
church	one of the groups of Christians who have their own beliefs and forms of worship.	['one', 'of', 'the', 'groups', 'of', 'Christians', 'who', 'have', 'their', 'own', 'beliefs', 'and', 'forms', 'of', 'worship', '.']	['one', ['of', [['the', 'groups'], ['of', ['Christians', ['who', ['have', ['their', 'own', 'beliefs', 'and', 'forms']]]]]]], ['of', 'worship'], '.']	['one', ['groups', 'of', 'the', ['Christians', 'of', ['have', 'who', ['beliefs', 'their', 'own', 'and', ['forms', ['worship', 'of']]]]]], '.']	[['of', 'the', ['of', ['who', ['their', 'own', 'and', [['of', 'worship'], 'forms'], 'beliefs'], 'have'], 'Christians'], 'groups'], '.', 'one']	['one', 'of', ['the', 'groups'], 'of', 'Christians', 'who', 'have', ['their', 'own', 'beliefs'], 'and', 'forms', 'of', 'worship', '.']
cigarette	finely ground tobacco wrapped in paper.	['finely', 'ground', 'tobacco', 'wrapped', 'in', 'paper', '.']	['finely', [['ground', 'tobacco'], ['wrapped', ['in', 'paper']]], '.']	['tobacco', 'finely', 'ground', ['wrapped', ['paper', 'in']], '.']	['finely', 'ground', [['in', 'paper'], 'wrapped'], '.', 'tobacco']	[['finely', 'ground', 'tobacco'], 'wrapped', 'in', 'paper', '.']
circle	ellipse in which the two axes are of equal length.	['ellipse', 'in', 'which', 'the', 'two', 'axes', 'are', 'of', 'equal', 'length', '.']	['ellipse', ['in', ['which', [['the', 'two', 'axes'], ['are', ['of', ['equal', 'length']]]]]], '.']	['ellipse', ['length', ['which', 'in'], ['axes', 'the', 'two'], 'are', 'of', 'equal'], '.']	[[['in', 'which'], ['the', 'two', 'axes'], 'are', 'of', 'equal', 'length'], '.', 'ellipse']	['ellipse', 'in', 'which', ['the', 'two', 'axes'], 'are', 'of', ['equal', 'length'], '.']
city	a large and densely populated urban area.	['a', 'large', 'and', 'densely', 'populated', 'urban', 'area', '.']	[[['a', 'large', 'and', ['densely', 'populated']], 'urban', 'area'], '.']	['area', 'a', ['large', 'and', ['populated', 'densely']], 'urban', '.']	['a', ['and', ['densely', 'populated'], 'large'], 'urban', '.', 'area']	[['a', 'large', 'and', 'densely', 'populated', 'urban', 'area'], '.']
cliff	a steep high face of rock.	['a', 'steep', 'high', 'face', 'of', 'rock', '.']	[['a', 'steep', 'high', 'face'], ['of', 'rock'], '.']	['face', 'a', 'steep', 'high', ['rock', 'of'], '.']	['a', 'steep', 'high', ['of', 'rock'], '.', 'face']	[['a', 'steep', 'high', 'face'], 'of', 'rock', '.']
clock	a timepiece that shows the time of day.	['a', 'timepiece', 'that', 'shows', 'the', 'time', 'of', 'day', '.']	['a', 'timepiece', ['that', ['shows', [['the', 'time'], ['of', 'day']]]], '.']	['timepiece', 'a', ['shows', 'that', ['time', 'the', ['day', 'of']]], '.']	['a', ['that', ['the', ['of', 'day'], 'time'], 'shows'], '.', 'timepiece']	[['a', 'timepiece'], 'that', 'shows', ['the', 'time'], 'of', 'day', '.']
clothes	clothing in general.	['clothing', 'in', 'general', '.']	['clothing', ['in', 'general'], '.']	['clothing', ['general', 'in'], '.']	[['in', 'general'], '.', 'clothing']	['clothing', 'in', 'general', '.']
cloud	any collection of particles (e.g., smoke or dust) or gases that is visible.	['any', 'collection', 'of', 'particles', '(', 'e.g.', ',', 'smoke', 'or', 'dust', ')', 'or', 'gases', 'that', 'is', 'visible', '.']	[['any', 'collection'], ['of', [['particles', ['-LRB-', ['e.g.', ',', ['smoke', 'or', 'dust']], '-RRB-']], 'or', ['gases', ['that', ['is', 'visible']]]]], '.']	['collection', 'any', ['particles', 'of'], ['smoke', '-LRB-', 'e.g.', ',', 'or', 'dust', '-RRB-'], 'or', 'gases', ['visible', 'that', 'is'], '.']	['any', ['of', 'particles'], ['-LRB-', 'e.g.', ',', 'or', 'dust', '-RRB-', 'smoke'], 'or', 'gases', ['that', 'is', 'visible'], '.', 'collection']	[['any', 'collection'], 'of', 'particles', ['(', 'e.g.', ',', 'smoke'], 'or', 'dust', ')', 'or', 'gases', 'that', 'is', 'visible', '.']
clown	a rude or vulgar fool.	['a', 'rude', 'or', 'vulgar', 'fool', '.']	[['a', ['rude', 'or', 'vulgar'], 'fool'], '.']	['fool', 'a', ['rude', 'or', 'vulgar'], '.']	['a', ['or', 'vulgar', 'rude'], '.', 'fool']	[['a', 'rude', 'or', 'vulgar', 'fool'], '.']
club	a team of professional baseball players who play and travel together.	['a', 'team', 'of', 'professional', 'baseball', 'players', 'who', 'play', 'and', 'travel', 'together', '.']	[['a', 'team'], ['of', [['professional', 'baseball', 'players'], ['who', ['play', 'and', ['travel', 'together']]]]], '.']	['team', 'a', ['players', 'of', 'professional', 'baseball', ['play', 'who', 'and', 'travel', 'together']], '.']	['a', ['of', 'professional', 'baseball', ['who', 'and', 'travel', 'together', 'play'], 'players'], '.', 'team']	[['a', 'team'], 'of', ['professional', 'baseball', 'players'], 'who', 'play', 'and', 'travel', 'together', '.']
coast	the shore of a sea or ocean.	['the', 'shore', 'of', 'a', 'sea', 'or', 'ocean', '.']	[['the', 'shore'], ['of', ['a', 'sea', 'or', 'ocean']], '.']	['shore', 'the', ['sea', 'of', 'a', 'or', 'ocean'], '.']	['the', ['of', 'a', 'or', 'ocean', 'sea'], '.', 'shore']	[['the', 'shore'], 'of', ['a', 'sea'], 'or', 'ocean', '.']
